restaurant_id,date,total_thb,my_share_thb,comment
cocotte-39,2022-11-18,404032.26,404032.26,from 8 to 31Oct
cocotte-39,2022-12-19,432908.65,432908.65,
cocotte-39,2023-01-19,1093750.0,1093750.0,
cocotte-39,2023-02-16,437500.0,437500.0,
cocotte-39,2023-03-17,546875.0,546875.0,
cocotte-39,2023-04-10,590625.0,590625.0,
cocotte-39,2023-05-18,546875.0,546875.0,
cocotte-39,2023-06-14,218750.0,218750.0,
cocotte-39,2023-07-19,481250.0,481250.0,
cocotte-39,2023-08-18,525000.0,525000.0,
cocotte-39,2023-09-18,568750.0,568750.0,
cocotte-39,2023-10-19,218750.0,218750.0,
cocotte-39,2023-11-17,437500.0,437500.0,
cocotte-39,2023-12-18,481250.0,481250.0,
cocotte-39,2024-01-18,1120596.59,1120596.59,
cocotte-39,2024-02-16,437500.0,437500.0,
cocotte-39,2024-03-15,437500.0,437500.0,
cocotte-39,2024-04-18,721875.0,721875.0,
cocotte-39,2024-05-17,437500.0,437500.0,
cocotte-39,2024-06-14,280024.28,280024.28,
cocotte-39,2024-07-18,437500.0,437500.0,
cocotte-39,2024-08-26,437500.0,437500.0,
cocotte-39,2024-09-13,525000.0,525000.0,
cocotte-39,2024-10-18,218750.0,218750.0,
cocotte-39,2024-11-15,393750.0,393750.0,
cocotte-39,2024-12-10,546875.0,546875.0,
cocotte-39,2025-01-17,875000.0,875000.0,
cocotte-39,2025-02-13,240625.0,240625.0,
cocotte-39,2025-03-21,262500.0,262500.0,
cocotte-39,2025-04-30,350000.0,350000.0,
cocotte-39,2025-05-22,218750.0,218750.0,
cocotte-39,2025-06-16,109375.0,109375.0,
cocotte-39,2025-07-25,437500.0,437500.0,
cocotte-39,2025-08-26,240625.0,240625.0,
cocotte-39,2025-09-26,437500.0,437500.0,
cocotte-39,2025-10-27,131250.0,131250.0,
cocotte-39,2025-12-01,218750.0,218750.0,
cocotte-39,2025-12-29,284375.0,284375.0,
cocotte-39,2026-01-30,546875.0,546875.0,
mozza-cp,2025-10-27,400000.0,400000.0,
mozza-cp,2025-12-01,100000.0,100000.0,
mozza-cp,2025-12-29,80000.0,80000.0,
mozza-cp,2026-01-30,150000.0,150000.0,
mozza-emq,2022-10-19,328657.91,328657.91,from 8th to 30th of september
mozza-emq,2022-11-18,566560.64,566560.64,4 of val from 4th to 31st of october
mozza-emq,2022-12-19,481250.0,481250.0,
mozza-emq,2023-01-19,748237.18,748237.18,
mozza-emq,2023-02-16,470320.51,470320.51,
mozza-emq,2023-03-17,470320.51,470320.51,
mozza-emq,2023-04-10,513076.92,513076.92,
mozza-emq,2023-05-18,470320.51,470320.51,
mozza-emq,2023-06-14,438253.21,438253.21,
mozza-emq,2023-07-19,438253.21,438253.21,
mozza-emq,2023-08-18,513077.0,513077.0,
mozza-emq,2023-09-18,470320.51,470320.51,
mozza-emq,2023-10-19,427564.1,427564.1,
mozza-emq,2023-11-17,448942.31,448942.31,
mozza-emq,2023-12-18,491698.72,491698.72,
mozza-emq,2024-01-18,693468.62,693468.62,
mozza-emq,2024-02-16,427564.1,427564.1,
mozza-emq,2024-03-15,427564.1,427564.1,
mozza-emq,2024-04-18,406185.9,406185.9,
mozza-emq,2024-05-17,320673.08,320673.08,
mozza-emq,2024-06-14,304997.79,304997.79,
mozza-emq,2024-07-18,427564.1,427564.1,
mozza-emq,2024-08-26,374118.59,374118.59,
mozza-emq,2024-09-13,481009.62,481009.62,
mozza-emq,2024-10-18,213782.05,213782.05,
mozza-emq,2024-11-15,331362.18,331362.18,
mozza-emq,2024-12-10,427564.1,427564.1,
mozza-emq,2025-01-17,534455.13,534455.13,
mozza-emq,2025-02-13,213782.05,213782.05,
mozza-emq,2025-03-21,267227.56,267227.56,
mozza-emq,2025-04-30,320673.08,320673.08,
mozza-emq,2025-05-22,213782.05,213782.05,
