restaurant_id,month,revenue,revenue_n1,food_cost,beverage_cost,total_fb_cost,total_other_expenses,total_monthly_exp,gop_before_fee,other_special_fee,monthly_provision,gop_net,rebate
cocotte-39,2022-10,8538840.0,6196725.0,2207731.0,818573.0,3026305.0,2960822.0,5987127.0,2551714.0,,51714.0,2551714.0,198196.0
cocotte-39,2022-11,8626112.0,7803797.0,2168182.0,643022.0,2811205.0,3594236.0,6405441.0,2220671.0,,20671.0,2220671.0,137741.0
cocotte-39,2022-12,11220178.0,10486486.0,2279656.0,1044415.0,3324071.0,1460488.0,4784559.0,6435619.0,,1435619.0,6435619.0,167045.0
cocotte-39,2023-01,9020754.0,7029713.0,3194643.0,775159.0,3969802.0,2938870.0,6908671.0,2112083.0,,112083.0,2112083.0,186147.0
cocotte-39,2023-02,8320339.0,6419136.0,2160296.0,653589.0,2813885.0,2838347.0,5652232.0,2668107.0,,168107.0,2668107.0,591597.0
cocotte-39,2023-03,8526747.0,7891145.0,2162743.0,608599.0,2771342.0,2857709.0,5629052.0,2897695.0,,197695.0,2897695.0,749226.0
cocotte-39,2023-04,8637974.0,7850916.0,2570555.0,819771.0,3390326.0,2715598.0,6105924.0,2532050.0,,32050.0,2532050.0,519520.0
cocotte-39,2023-05,6292491.0,7697177.0,2144881.0,658827.0,2803708.0,2555140.0,5358849.0,933643.0,,0.0,933643.0,374549.0
cocotte-39,2023-06,7341106.0,8531050.0,1714756.0,477410.0,2192166.0,2779096.0,4971262.0,2369844.0,,169844.0,2369844.0,439808.0
cocotte-39,2023-07,7750553.0,8746621.0,1848292.0,669943.0,2518235.0,2814776.0,5333011.0,2417542.0,,17542.0,2417542.0,571516.0
cocotte-39,2023-08,8099175.0,8165984.0,2051811.0,633038.0,2684849.0,2793904.0,5478753.0,2620421.0,,20421.0,2620421.0,414669.0
cocotte-39,2023-09,6487223.0,8448264.0,2209769.0,473159.0,2682928.0,2723464.0,5406392.0,1080831.0,,80831.0,1080831.0,395128.0
cocotte-39,2023-10,6867108.0,8433181.0,1709706.0,480541.0,2190246.0,2646268.0,4836514.0,2030593.0,,30593.0,2030593.0,412752.0
cocotte-39,2023-11,7325392.0,8544605.0,1723001.0,497227.0,2220228.0,2865132.0,5085359.0,2240032.0,,40032.0,2240032.0,457675.0
cocotte-39,2023-12,10815117.0,11099095.0,1987727.0,707199.0,2694926.0,2927885.0,5622810.0,5192306.0,,69579.0,5192306.0,592152.0
cocotte-39,2024-01,7729558.0,8987632.0,2686849.0,929855.0,3616705.0,3047729.0,6664434.0,1065124.0,,0.0,1065124.0,387913.0
cocotte-39,2024-02,7628189.0,8301417.0,1867292.0,502043.0,2369335.0,3277916.0,5647250.0,1980939.0,,0.0,1980939.0,574252.0
cocotte-39,2024-03,8051225.0,8458342.0,1883019.0,634969.0,2517988.0,2152904.0,4670893.0,3380333.0,,80333.0,3380333.0,638577.0
cocotte-39,2024-04,7550240.0,8560669.0,2020592.0,746856.0,2767448.0,2838199.0,5605647.0,1944593.0,,0.0,1944593.0,400356.0
cocotte-39,2024-05,6547173.0,6278338.0,2010032.0,592636.0,2602668.0,2593301.0,5195969.0,1351204.0,,71093.0,1351204.0,340616.0
cocotte-39,2024-06,6908914.0,,,,,,,,,,2008616.0,
cocotte-39,2024-07,6924714.0,,,,,,,,,,2136780.0,
cocotte-39,2024-08,7526463.0,,,,,,,,,,2530964.0,
cocotte-39,2024-09,6798929.0,,,,,,,,,,1090854.0,
cocotte-39,2024-10,6882235.0,,,,,,,,,,1837075.0,
cocotte-39,2024-11,7961096.0,,,,,,,,,,2612675.0,
cocotte-39,2024-12,10859744.0,,,,,,,,,,4729773.0,
cocotte-39,2025-01,8116117.0,,,,,,,,,,1103864.0,
cocotte-39,2025-02,6794612.0,,,,,,,,,,1181997.0,
cocotte-39,2025-03,6601916.0,,,,,,,,,,1603681.0,
cocotte-39,2025-04,6303284.0,,,,,,,,,,985415.0,
cocotte-39,2025-05,5344288.0,,,,,,,,,,512072.0,
cocotte-39,2025-06,6286498.0,,,,,,,,,,1921544.0,
cocotte-39,2025-07,5952535.0,,,,,,,,,,1118644.0,
cocotte-39,2025-08,6584077.0,,,,,,,,,,1890289.0,
cocotte-39,2025-09,5653354.0,,,,,,,,,,616653.0,
cocotte-39,2025-10,5422929.0,,,,,,,,,,877547.0,
cocotte-39,2025-11,6272654.0,,,,,,,,,,1320207.0,
cocotte-39,2025-12,7631668.0,,,,,,,,,,2592505.0,
cocotte-39,2026-01,6381865.0,,,,,,,,,,254653.0,
cocotte-39,2026-02,5108739,6779231,1335241,473530,1808771,2410580,4219351,889388,0,0,889388,210602
mozza-cp,2025-09,8557648.0,,,,,,,,,,4917612.0,
mozza-cp,2025-10,6235299.0,,,,,,,,,,1040343.0,
mozza-cp,2025-11,4648220.0,,,,,,,,,,808422.0,
mozza-cp,2025-12,5316033.0,,,,,,,,,,1835953.0,
mozza-cp,2026-01,4487218.0,,,,,,,,,,617640.0,
mozza-cp,2026-02,3486490,0,883993,186161,1070154,2134407,3204561,281929,0,0,281929,199895
mozza-emq,2022-09,11374487.0,6119862.0,1797882.0,1077241.0,2875122.0,4699588.0,7574710.0,3799777.0,,0.0,3799777.0,5367.0
mozza-emq,2022-10,12555252.0,7616654.0,1806717.0,1017377.0,2824094.0,4200400.0,7024495.0,5530757.0,,30757.0,5530757.0,5083.0
mozza-emq,2022-11,11503192.0,10884540.0,1941691.0,1172127.0,3113818.0,4336505.0,7450323.0,4052869.0,,2869.0,4052869.0,4473.0
mozza-emq,2022-12,15572906.0,14093836.0,1907524.0,1140536.0,3048060.0,4334122.0,7382183.0,8190723.0,,1190723.0,8190723.0,3392.0
mozza-emq,2023-01,12922095.0,10508096.0,2420660.0,1637245.0,4057905.0,4401353.0,8459258.0,4462837.0,,62837.0,4462837.0,5896.0
mozza-emq,2023-02,10978262.0,9342407.0,1821040.0,895208.0,2716248.0,3832675.0,6548923.0,4429339.0,,29339.0,4429339.0,385792.0
mozza-emq,2023-03,11461160.0,10343386.0,1703605.0,974334.0,2677939.0,3909464.0,6587403.0,4873757.0,,73757.0,4873757.0,370376.0
mozza-emq,2023-04,11150387.0,11090624.0,1785066.0,1100592.0,2885657.0,3816851.0,6702509.0,4447879.0,,47879.0,4447879.0,355490.0
mozza-emq,2023-05,10721919.0,11878547.0,1828225.0,1064373.0,2892598.0,3693347.0,6585945.0,4135974.0,,35974.0,4135974.0,370336.0
mozza-emq,2023-06,10871344.0,11478949.0,1757635.0,836701.0,2594336.0,4125891.0,6720226.0,4151117.0,,51117.0,4151117.0,348798.0
mozza-emq,2023-07,11463380.0,11804471.0,1770922.0,905292.0,2676214.0,3937679.0,6613893.0,4849487.0,,49487.0,4849487.0,383272.0
mozza-emq,2023-08,11021381.0,11758843.0,1868266.0,1008804.0,2877070.0,3704726.0,6581796.0,4439586.0,,39586.0,4439586.0,343417.0
mozza-emq,2023-09,10358290.0,11356951.0,1689288.0,816943.0,2506231.0,3872441.0,6378672.0,3979618.0,,0.0,3979618.0,370363.0
mozza-emq,2023-10,10823579.0,12539082.0,1676653.0,1046930.0,2723583.0,3898213.0,6621796.0,4201784.0,,1784.0,4201784.0,374434.0
mozza-emq,2023-11,11230688.0,11491602.0,1713918.0,947547.0,2661464.0,3902334.0,6563799.0,4666889.0,,66889.0,4666889.0,369798.0
mozza-emq,2023-12,13888855.0,15564580.0,1798490.0,1170442.0,2968931.0,4429701.0,7398632.0,6490224.0,,2602.0,6490224.0,421570.0
mozza-emq,2024-01,10853670.0,12910557.0,2306090.0,1439792.0,3745882.0,4539080.0,8284962.0,2568708.0,,0.0,2568708.0,376008.0
mozza-emq,2024-02,11174246.0,10960011.0,1542769.0,983631.0,2526400.0,4715317.0,7241717.0,3932528.0,,0.0,3932528.0,335129.0
mozza-emq,2024-03,10645108.0,11444188.0,1769390.0,1031237.0,2800627.0,4052822.0,6853449.0,3791660.0,,0.0,3791660.0,405179.0
mozza-emq,2024-04,9672438.0,10907093.0,1664576.0,999308.0,2663884.0,4019216.0,6683100.0,2989338.0,,0.0,2989338.0,397900.0
mozza-emq,2024-05,9597758.0,10716380.0,1705287.0,980204.0,2685490.0,4055936.0,6741426.0,2856332.0,,2980.0,2856332.0,351034.0
mozza-emq,2024-06,10235805.0,,,,,,,,,,3859244.0,
mozza-emq,2024-07,10335563.0,,,,,,,,,,3439107.0,
mozza-emq,2024-08,11571204.0,,,,,,,,,,4666329.0,
mozza-emq,2024-09,9484654.0,,,,,,,,,,1804222.0,
mozza-emq,2024-10,9738160.0,,,,,,,,,,3112468.0,
mozza-emq,2024-11,10465667.0,,,,,,,,,,4145554.0,
mozza-emq,2024-12,12546496.0,,,,,,,,,,5019948.0,
mozza-emq,2025-01,10574107.0,,,,,,,,,,2000519.0,
mozza-emq,2025-02,9135761.0,,,,,,,,,,2267888.0,
mozza-emq,2025-03,9219590.0,,,,,,,,,,2949131.0,
mozza-emq,2025-04,8871245.0,,,,,,,,,,1968229.0,
mozza-emq,2025-05,8583341.0,,,,,,,,,,2425922.0,
mozza-emq,2025-06,9012769.0,,,,,,,,,,2425952.0,
mozza-emq,2025-07,9290188.0,,,,,,,,,,2706485.0,
mozza-emq,2025-08,9831725.0,,,,,,,,,,2983848.0,
mozza-emq,2025-09,7740642.0,,,,,,,,,,1231320.0,
mozza-emq,2025-10,9738162.0,,,,,,,,,,2098561.0,
mozza-emq,2025-11,9319831.0,,,,,,,,,,2939990.0,
mozza-emq,2025-12,11330268.0,,,,,,,,,,4289928.0,
mozza-emq,2026-01,9700932.0,,,,,,,,,,1463511.0,
mozza-emq,2026-02,8055139,9135763,1521475,701922,2223397,3660006,5883403,2171736,0,0,2171736,443261
mozza-icsm,2024-10,2912079.0,,,,,,,,,,782021.0,
mozza-icsm,2024-11,3493680.0,,,,,,,,,,99516.0,
mozza-icsm,2024-12,5183579.0,,,,,,,,,,1726757.0,
mozza-icsm,2025-01,4146429.0,,,,,,,,,,244594.0,
mozza-icsm,2025-02,3597098.0,,,,,,,,,,324199.0,
mozza-icsm,2025-03,3175056.0,,,,,,,,,,196002.0,
mozza-icsm,2025-04,3233382.0,,,,,,,,,,160264.0,
mozza-icsm,2025-05,2744860.0,,,,,,,,,,172237.0,
mozza-icsm,2025-06,0.0,,,,,,,,,,-1194394.0,
mozza-icsm,2025-07,3511478.0,,,,,,,,,,1593303.0,
mozza-icsm,2025-08,6474435.0,,,,,,,,,,2310487.0,
mozza-icsm,2025-09,3371505.0,,,,,,,,,,-763872.0,
mozza-icsm,2025-10,3939167.0,,,,,,,,,,303229.0,
mozza-icsm,2025-11,5440412.0,,,,,,,,,,1310970.0,
mozza-icsm,2025-12,8099677.0,,,,,,,,,,3197025.0,
mozza-icsm,2026-01,6793029.0,,,,,,,,,,769698.0,
mozza-icsm,2026-02,5985203,3595355,1125331,435385,1560716,3126585,4687301,1297902,0,0,1297902,193397
mozza-prg,2024-06,8824460.0,,,,,,,,,,3213382.0,
mozza-prg,2024-07,13398947.0,,,,,,,,,,6262952.0,
mozza-prg,2024-08,13143806.0,,,,,,,,,,4723760.0,
mozza-prg,2024-09,6942345.0,,,,,,,,,,-345829.0,
mozza-prg,2024-10,7046078.0,,,,,,,,,,2359160.0,
mozza-prg,2024-11,7074556.0,,,,,,,,,,2122037.0,
mozza-prg,2024-12,8778180.0,,,,,,,,,,3254915.0,
mozza-prg,2025-01,7557363.0,,,,,,,,,,1561630.0,
mozza-prg,2025-02,6175242.0,,,,,,,,,,1009592.0,
mozza-prg,2025-03,5213180.0,,,,,,,,,,704676.0,
mozza-prg,2025-04,5973330.0,,,,,,,,,,1132162.0,
mozza-prg,2025-05,5907162.0,,,,,,,,,,1366547.0,
mozza-prg,2025-06,7380344.0,,,,,,,,,,2324710.0,
mozza-prg,2025-07,10449627.0,,,,,,,,,,4173862.0,
mozza-prg,2025-08,11323219.0,,,,,,,,,,3978121.0,
mozza-prg,2025-09,5359290.0,,,,,,,,,,-342032.0,
mozza-prg,2025-10,6942346.0,,,,,,,,,,1210344.0,
mozza-prg,2025-11,5571316.0,,,,,,,,,,868357.0,
mozza-prg,2025-12,8132494.0,,,,,,,,,,3240086.0,
mozza-prg,2026-01,6027039.0,,,,,,,,,,136639.0,
mozza-prg,2026-02,4956638,6175242,1112203,238546,1350749,3138267,4489016,467623,0,0,467623,193032
parma-eastville,2026-01,1984627,1984627,615214,142733,757947,1200476,1958422,26204,0,0,0,167297
parma-eastville,2026-02,2194431,2194431,453336,81850,535185,1204357,1739542,454889,0,0,454889,137614
